time_utc,time_utc_plus_03,kind,actor,number,sha,direct_pr,title
2026-05-29T21:49:58+00:00,2026-05-30T00:49:58+03:00,pr_merged,konard,2922,,yes,atex: рабочее место «Калькулятор типов резки» (Диспетчер) (#2912)
2026-05-29T21:49:58+00:00,2026-05-30T00:49:58+03:00,commit,konard,,5f34a285,,atex: рабочее место «Калькулятор типов резки» (Диспетчер) (#2912) (#2922)
2026-05-29T21:52:10+00:00,2026-05-30T00:52:10+03:00,pr_merged,konard,2921,,yes,feat(#2911): рабочее место atex «Приём и ведение заказов» (Менеджер)
2026-05-29T21:52:10+00:00,2026-05-30T00:52:10+03:00,commit,konard,,8629d4da,,feat(#2911): рабочее место atex «Приём и ведение заказов» (Менеджер) (#2921)
2026-05-29T22:00:14+00:00,2026-05-30T01:00:14+03:00,pr_created,konard,2923,,yes,feat(#2916): atex «Пульт втулкореза» (Оператор)
2026-05-29T22:00:53+00:00,2026-05-30T01:00:53+03:00,pr_created,konard,2924,,yes,feat(#2913): atex «Планирование производства» (Диспетчер)
2026-05-29T22:01:05+00:00,2026-05-30T01:01:05+03:00,pr_created,konard,2925,,yes,feat(#2914): atex «Приёмка сырья» (Кладовщик)
2026-05-29T22:02:28+00:00,2026-05-30T01:02:28+03:00,pr_created,konard,2926,,yes,feat(#2917): atex рабочее место «Карта раскроя» (Оператор)
2026-05-29T22:02:32+00:00,2026-05-30T01:02:32+03:00,pr_created,konard,2927,,yes,atex: рабочее место «Склад готовой продукции» (Кладовщик)
2026-05-29T22:03:07+00:00,2026-05-30T01:03:07+03:00,pr_created,konard,2928,,yes,atex: рабочее место «Дашборды и отчёты» (Руководитель)
2026-05-29T22:03:13+00:00,2026-05-30T01:03:13+03:00,pr_created,konard,2929,,yes,feat(#2920): atex «Клиентский портал» (Клиент) — список своих заказов
2026-05-29T22:08:54+00:00,2026-05-30T01:08:54+03:00,commit,konard,,8b401a1f,,feat(#2914): atex «Приёмка сырья» — рабочее место Кладовщика
2026-05-29T22:11:42+00:00,2026-05-30T01:11:42+03:00,commit,konard,,e9d27bb4,,feat(#2913): atex «Планирование производства» — рабочее место Диспетчера
2026-05-29T22:12:48+00:00,2026-05-30T01:12:48+03:00,commit,konard,,fb232ea8,,feat(#2919): atex «Дашборды и отчёты» — рабочее место Руководителя
2026-05-29T22:12:58+00:00,2026-05-30T01:12:58+03:00,commit,konard,,a201a952,,docs(#2919): §3.9 — уточнение API дашбордов + ссылка на реализацию
2026-05-29T22:15:10+00:00,2026-05-30T01:15:10+03:00,commit,konard,,338a455b,,feat(#2918): рабочее место atex «Склад готовой продукции» (Кладовщик)
2026-05-29T23:07:13+00:00,2026-05-30T02:07:13+03:00,commit,konard,,91604853,,feat(#2916): рабочее место atex «Пульт втулкореза» (Оператор)
2026-05-30T05:27:54+00:00,2026-05-30T08:27:54+03:00,pr_merged,konard,2928,,yes,atex: рабочее место «Дашборды и отчёты» (Руководитель)
2026-05-30T05:27:54+00:00,2026-05-30T08:27:54+03:00,commit,konard,,d129d33e,,atex: рабочее место «Дашборды и отчёты» (Руководитель) (#2928)
2026-05-30T06:28:22+00:00,2026-05-30T09:28:22+03:00,pr_merged,konard,2929,,yes,feat(#2920): atex «Клиентский портал» (Клиент) — список своих заказов
2026-05-30T06:28:22+00:00,2026-05-30T09:28:22+03:00,commit,konard,,09d595fe,,feat(#2920): atex «Клиентский портал» (Клиент) — список своих заказов (#2929)
2026-05-30T06:28:42+00:00,2026-05-30T09:28:42+03:00,commit,konard,,70c4dcb2,,atex: рабочее место «Склад готовой продукции» (Кладовщик) (#2927)
2026-05-30T06:28:43+00:00,2026-05-30T09:28:43+03:00,pr_merged,konard,2927,,yes,atex: рабочее место «Склад готовой продукции» (Кладовщик)
2026-05-30T06:28:54+00:00,2026-05-30T09:28:54+03:00,commit,konard,,34e6701c,,feat(#2916): atex «Пульт втулкореза» (Оператор) (#2923)
2026-05-30T06:28:55+00:00,2026-05-30T09:28:55+03:00,pr_merged,konard,2923,,yes,feat(#2916): atex «Пульт втулкореза» (Оператор)
2026-05-30T06:28:59+00:00,2026-05-30T09:28:59+03:00,pr_merged,konard,2924,,yes,feat(#2913): atex «Планирование производства» (Диспетчер)
2026-05-30T06:28:59+00:00,2026-05-30T09:28:59+03:00,commit,konard,,bee3fa77,,feat(#2913): atex «Планирование производства» (Диспетчер) (#2924)
2026-05-30T06:29:03+00:00,2026-05-30T09:29:03+03:00,commit,konard,,1315806f,,feat(#2914): atex «Приёмка сырья» (Кладовщик) (#2925)
2026-05-30T06:29:04+00:00,2026-05-30T09:29:04+03:00,pr_merged,konard,2925,,yes,feat(#2914): atex «Приёмка сырья» (Кладовщик)
2026-05-30T06:29:12+00:00,2026-05-30T09:29:12+03:00,commit,konard,,33f9e71a,,feat(#2917): atex рабочее место «Карта раскроя» (Оператор) (#2926)
2026-05-30T06:29:13+00:00,2026-05-30T09:29:13+03:00,pr_merged,konard,2926,,yes,feat(#2917): atex рабочее место «Карта раскроя» (Оператор)
2026-05-30T06:32:15+00:00,2026-05-30T09:32:15+03:00,pr_created,konard,2932,,yes,feat(#2915): atex «Пульт слиттера» (Оператор)
2026-05-30T06:47:20+00:00,2026-05-30T09:47:20+03:00,commit,konard,,64be3d31,,feat(#2915): atex «Пульт слиттера» (Оператор) (#2932)
2026-05-30T06:47:21+00:00,2026-05-30T09:47:21+03:00,pr_merged,konard,2932,,yes,feat(#2915): atex «Пульт слиттера» (Оператор)
2026-05-30T08:56:15+00:00,2026-05-30T11:56:15+03:00,issue,ideav,2941,,,Что за фрагмент с непечатным символом в index.php? Откуда он взялся там и нет ли такого в других местах?
2026-05-30T08:58:34+00:00,2026-05-30T11:58:34+03:00,pr_created,konard,2942,,,fix: remove stray control characters from index.php and atex-production-planning.js (#2941)
2026-05-30T09:49:45+00:00,2026-05-30T12:49:45+03:00,pr_merged,konard,2942,,,fix: remove stray control characters from index.php and atex-production-planning.js (#2941)
2026-05-30T11:33:08+00:00,2026-05-30T14:33:08+03:00,issue,ideav,2945,,,https://github.com/ideav/crm/blob/main/docs/integram-app-workflow.md Добавить типовые приемы ограничения доступа
2026-05-30T18:27:27+00:00,2026-05-30T21:27:27+03:00,issue,ideav,2954,,,docs/integram-app-workflow.md Выделить 2 этапа вначале
2026-05-30T19:23:48+00:00,2026-05-30T22:23:48+03:00,issue,ideav,2956,,,docs/integram-app-workflow.md Напиши инструкцию как трактовать результат команды metadata
2026-05-30T19:24:47+00:00,2026-05-30T22:24:47+03:00,pr_created,konard,2957,,,docs/integram-app-workflow.md: инструкция как трактовать результат команды metadata
2026-05-30T19:36:03+00:00,2026-05-30T22:36:03+03:00,pr_merged,konard,2957,,,docs/integram-app-workflow.md: инструкция как трактовать результат команды metadata
2026-05-30T20:27:56+00:00,2026-05-30T23:27:56+03:00,issue,ideav,2963,,,"https://github.com/ideav/crm/blob/main/docs/integram-app-workflow.md Исправь форматирование где нарушено, дублирование и смысловые ошибки"
2026-05-30T20:28:51+00:00,2026-05-30T23:28:51+03:00,pr_created,konard,2964,,,"docs(integram-app-workflow): исправить форматирование, дублирование и смысловые ошибки"
2026-05-30T20:36:59+00:00,2026-05-30T23:36:59+03:00,issue,ideav,2967,,,index.php Добавь возможность задавать псевдоним таблице для UI
2026-05-30T20:56:29+00:00,2026-05-30T23:56:29+03:00,pr_merged,konard,2964,,,"docs(integram-app-workflow): исправить форматирование, дублирование и смысловые ошибки"
2026-05-31T07:43:27+00:00,2026-05-31T10:43:27+03:00,issue,ideav,2970,,,"Разобраться, где наиболее полная и актуальная версия рабочих мест"
2026-05-31T07:44:27+00:00,2026-05-31T10:44:27+03:00,pr_created,konard,2971,,yes,docs(atex): анализ актуальности рабочих мест и план объединения (#2970)
2026-05-31T07:48:41+00:00,2026-05-31T10:48:41+03:00,commit,konard,,319bc7c9,,docs(atex): анализ актуальности рабочих мест и план объединения (#2970)
2026-05-31T07:50:43+00:00,2026-05-31T10:50:43+03:00,pr_merged,konard,2971,,yes,docs(atex): анализ актуальности рабочих мест и план объединения (#2970)
2026-05-31T07:50:43+00:00,2026-05-31T10:50:43+03:00,commit,konard,,1c9a0d95,,docs(atex): анализ актуальности рабочих мест и план объединения (#2970) (#2971)
2026-05-31T07:52:32+00:00,2026-05-31T10:52:32+03:00,issue,ideav,2972,,,"https://github.com/ideav/crm/pull/2971 Сделай PR собрать шаблоны скрипты и стили в одном месте - в актуальной репе, остальные удалить"
2026-05-31T07:53:27+00:00,2026-05-31T10:53:27+03:00,pr_created,konard,2973,,yes,refactor(atex): перенести ассеты 7 рабочих мест в download/atex/
2026-05-31T08:09:17+00:00,2026-05-31T11:09:17+03:00,pr_merged,konard,2973,,yes,refactor(atex): перенести ассеты 7 рабочих мест в download/atex/
2026-05-31T08:09:17+00:00,2026-05-31T11:09:17+03:00,commit,konard,,91343a0b,,refactor(atex): перенести ассеты 7 рабочих мест в download/atex/ (#2973)
2026-05-31T08:11:09+00:00,2026-05-31T11:11:09+03:00,issue,ideav,2974,,,templates/atex Применить корпоративный стиль и лого для рабочих мест по образцу с сайта клиента
2026-05-31T08:12:25+00:00,2026-05-31T11:12:25+03:00,pr_created,konard,2975,,yes,feat(atex): корпоративный стиль и лого рабочих мест по образцу сайта клиента (#2974)
2026-05-31T08:14:49+00:00,2026-05-31T11:14:49+03:00,issue,ideav,2978,,,"templates/atex Написать сценарий тестирования полного цикла, вставить туда данные для копипасты или выбора для тестера"
2026-05-31T08:16:02+00:00,2026-05-31T11:16:02+03:00,pr_created,konard,2979,,yes,docs(#2978): сценарий полного цикла тестирования atex
2026-05-31T08:22:43+00:00,2026-05-31T11:22:43+03:00,commit,konard,,cc8d87db,,feat(atex): корпоративный стиль и лого рабочих мест по образцу сайта клиента (#2974) (#2975)
2026-05-31T08:22:44+00:00,2026-05-31T11:22:44+03:00,pr_merged,konard,2975,,yes,feat(atex): корпоративный стиль и лого рабочих мест по образцу сайта клиента (#2974)
2026-05-31T08:26:49+00:00,2026-05-31T11:26:49+03:00,issue,ideav,2982,,,"https://github.com/ideav/crm/pull/2975 Вынеси иконку и стиль в шапку шаблона main.html, дополни этим правилом документацию"
2026-05-31T08:28:29+00:00,2026-05-31T11:28:29+03:00,pr_created,konard,2983,,yes,"Вынеси иконку и стиль в шапку шаблона main.html, дополни этим правилом документацию"
2026-05-31T08:35:03+00:00,2026-05-31T11:35:03+03:00,commit,konard,,281246ab,,docs(#2978): сценарий полного цикла тестирования atex (#2979)
2026-05-31T08:35:04+00:00,2026-05-31T11:35:04+03:00,pr_merged,konard,2979,,yes,docs(#2978): сценарий полного цикла тестирования atex
2026-05-31T08:42:23+00:00,2026-05-31T11:42:23+03:00,issue,ideav,2984,,,"https://github.com/ideav/crm/pull/2968 Проверить, что эти изменения не сломают ничего при выборках данных"
2026-05-31T08:43:19+00:00,2026-05-31T11:43:19+03:00,pr_created,konard,2985,,,fix(#2984): учесть строку-самоописание во всех выборках ядра (t!=up)
2026-05-31T08:47:08+00:00,2026-05-31T11:47:08+03:00,commit,konard,,786a2ec6,,fix(atex): фирменный стиль в шапке main.html вместо вложенной шапки рабочих мест (#2982)
2026-05-31T08:49:27+00:00,2026-05-31T11:49:27+03:00,commit,konard,,8c1a3f8b,,refactor(atex): относительные пути в brand.css (db-agnostic) (#2982)
2026-05-31T08:53:07+00:00,2026-05-31T11:53:07+03:00,issue,ideav,2986,,,"Сделать отдельный документ для описания процесса от и до, за основу взять проект Atex, упростив его до минимального состава для прохождения всего пути"
2026-05-31T08:54:36+00:00,2026-05-31T11:54:36+03:00,pr_created,konard,2987,,yes,docs(#2986): минимальный путь от Excel до рабочих экранов
2026-05-31T08:56:14+00:00,2026-05-31T11:56:14+03:00,pr_merged,konard,2983,,yes,"Вынеси иконку и стиль в шапку шаблона main.html, дополни этим правилом документацию"
2026-05-31T08:56:14+00:00,2026-05-31T11:56:14+03:00,commit,konard,,e2f8a7c4,,"Вынеси иконку и стиль в шапку шаблона main.html, дополни этим правилом документацию (#2983)"
2026-05-31T09:01:54+00:00,2026-05-31T12:01:54+03:00,commit,konard,,c7d1834f,,docs(#2986): add minimal full-cycle Integram project
2026-05-31T09:02:22+00:00,2026-05-31T12:02:22+03:00,commit,konard,,60a102af,,Merge remote-tracking branch 'origin/main' into issue-2986-6ca3ae844b7b
2026-05-31T09:07:23+00:00,2026-05-31T12:07:23+03:00,pr_merged,konard,2987,,yes,docs(#2986): минимальный путь от Excel до рабочих экранов
2026-05-31T09:07:23+00:00,2026-05-31T12:07:23+03:00,commit,konard,,cc78fba0,,docs(#2986): минимальный путь от Excel до рабочих экранов (#2987)
2026-05-31T09:22:09+00:00,2026-05-31T12:22:09+03:00,issue,ideav,2990,,,"https://github.com/ideav/crm/pull/2983 Создавать файл templates/{имя БД}/main.html из templates/main.html, если его нет, потом применять брендинг"
2026-05-31T09:23:14+00:00,2026-05-31T12:23:14+03:00,pr_created,konard,2991,,yes,Бренд АТЕХ через templates/atex/main.html без вложенных шапок
2026-05-31T09:29:10+00:00,2026-05-31T12:29:10+03:00,issue,ideav,2992,,,Создай скрипт PowerShell win11 для создания меню пользователей для тестирования проекта
2026-05-31T09:30:13+00:00,2026-05-31T12:30:13+03:00,pr_created,konard,2993,,yes,feat(#2992): меню atex для тестовых пользователей
2026-05-31T09:43:32+00:00,2026-05-31T12:43:32+03:00,commit,konard,,31abd432,,feat(#2992): меню atex для тестовых пользователей
2026-05-31T09:44:03+00:00,2026-05-31T12:44:03+03:00,commit,konard,,136beea1,,Бренд АТЕХ через templates/atex/main.html без вложенных шапок (#2991)
2026-05-31T09:44:04+00:00,2026-05-31T12:44:04+03:00,pr_merged,konard,2991,,yes,Бренд АТЕХ через templates/atex/main.html без вложенных шапок
2026-05-31T09:44:40+00:00,2026-05-31T12:44:40+03:00,commit,konard,,5a953585,,Merge remote-tracking branch 'origin/main' into issue-2992-9d29ca460e93
2026-05-31T09:45:50+00:00,2026-05-31T12:45:50+03:00,pr_merged,konard,2993,,yes,feat(#2992): меню atex для тестовых пользователей
2026-05-31T09:45:50+00:00,2026-05-31T12:45:50+03:00,commit,konard,,bca3d3ac,,feat(#2992): меню atex для тестовых пользователей (#2993)
2026-05-31T09:48:09+00:00,2026-05-31T12:48:09+03:00,issue,ideav,2994,,,Учти ошибки powershell с кодировкой - сделай правильно и укажи в docs/integram-app-workflow.md
2026-05-31T09:49:07+00:00,2026-05-31T12:49:07+03:00,pr_created,konard,2995,,,fix(#2994): кодировка PowerShell-скриптов для Windows PowerShell
2026-05-31T11:01:53+00:00,2026-05-31T14:01:53+03:00,pr_merged,konard,2995,,,fix(#2994): кодировка PowerShell-скриптов для Windows PowerShell
2026-05-31T11:06:23+00:00,2026-05-31T14:06:23+03:00,issue,ideav,2996,,,"Брендинг делать со своими отдельными стилями, не мешать со стилями светлой/темной темы, иначе тема ломается"
2026-05-31T11:09:10+00:00,2026-05-31T14:09:10+03:00,pr_created,konard,2997,,yes,Изолировать стили бренд-фона от светлой и темной темы
2026-05-31T11:23:32+00:00,2026-05-31T14:23:32+03:00,issue,ideav,2998,,,"Почему логинишься с паролем, если велено использовать токен? Документацию обнови, если нужно"
2026-05-31T11:24:21+00:00,2026-05-31T14:24:21+03:00,pr_created,konard,2999,,,fix(#2998): bootstrap-скрипты используют токен
2026-05-31T11:37:56+00:00,2026-05-31T14:37:56+03:00,pr_merged,konard,2997,,yes,Изолировать стили бренд-фона от светлой и темной темы
2026-05-31T11:37:56+00:00,2026-05-31T14:37:56+03:00,commit,konard,,9be3a362,,Изолировать стили бренд-фона от светлой и темной темы (#2997)
2026-05-31T11:39:19+00:00,2026-05-31T14:39:19+03:00,pr_merged,konard,2999,,,fix(#2998): bootstrap-скрипты используют токен
2026-05-31T12:38:33+00:00,2026-05-31T15:38:33+03:00,issue,ideav,3000,,,https://github.com/ideav/crm/pull/2999 Ошибка. Смотри тут и исправь доки на будущее: https://github.com/ideav/atex/pull/44
2026-05-31T12:39:49+00:00,2026-05-31T15:39:49+03:00,pr_created,konard,3001,,,fix(#3000): bootstrap-скрипты шлют токен заголовком X-Authorization
2026-05-31T12:42:26+00:00,2026-05-31T15:42:26+03:00,issue,ideav,3002,,,https://github.com/ideav/crm/pull/2979 Пройди полный производственный путь под всеми ролями и задокументируй текстом и скриншотами
2026-05-31T12:48:51+00:00,2026-05-31T15:48:51+03:00,issue,ideav,3003,,,"Проверь все рабочие места, что они обращаются к существующим объектам: https://github.com/ideav/crm/tree/main/templates/atex"
2026-05-31T12:50:03+00:00,2026-05-31T15:50:03+03:00,pr_created,konard,3004,,yes,Resolve Atex workplace references from metadata
2026-05-31T12:50:47+00:00,2026-05-31T15:50:47+03:00,pr_merged,konard,3001,,,fix(#3000): bootstrap-скрипты шлют токен заголовком X-Authorization
2026-05-31T12:53:19+00:00,2026-05-31T15:53:19+03:00,issue,ideav,3005,,,"https://github.com/ideav/crm/pull/3001 Я задал токен, что не так? [Environment]::SetEnvironmentVariable(""INTEGRAM_TOKEN"", ""xxx"", ""User"")"
2026-05-31T13:03:25+00:00,2026-05-31T16:03:25+03:00,commit,konard,,a3c161b3,,Resolve Atex workplace objects from metadata
2026-05-31T13:03:38+00:00,2026-05-31T16:03:38+03:00,pr_created,ideav,3007,,,Update create_atex_menu.ps1
2026-05-31T13:03:50+00:00,2026-05-31T16:03:50+03:00,pr_merged,ideav,3007,,,Update create_atex_menu.ps1
2026-05-31T13:08:07+00:00,2026-05-31T16:08:07+03:00,pr_merged,konard,3004,,yes,Resolve Atex workplace references from metadata
2026-05-31T13:08:07+00:00,2026-05-31T16:08:07+03:00,commit,konard,,1f92c26a,,Resolve Atex workplace references from metadata (#3004)
2026-05-31T13:09:49+00:00,2026-05-31T16:09:49+03:00,issue,ideav,3008,,,"templates/atex/main.html Исправь по новым правилам стили, чтобы работало - видно было надписи кнопок верхнего меню"
2026-05-31T13:11:11+00:00,2026-05-31T16:11:11+03:00,pr_created,konard,3009,,yes,fix(atex): показать подписи кнопок верхнего меню
2026-05-31T13:14:43+00:00,2026-05-31T16:14:43+03:00,pr_created,konard,3010,,yes,fix(#3002): live-проход Atex по ролям
2026-05-31T13:19:52+00:00,2026-05-31T16:19:52+03:00,commit,konard,,3a1c837c,,fix(atex): improve navbar control contrast
2026-05-31T13:28:32+00:00,2026-05-31T16:28:32+03:00,issue,ideav,3011,,,"Подготовь все полные справочники из файлов, приложенных к требованиям, в виде csv-файлов для загрузки через templates/upload.html"
2026-05-31T13:29:32+00:00,2026-05-31T16:29:32+03:00,pr_created,konard,3012,,yes,data(#3011): полные CSV-справочники atex для загрузки
2026-05-31T13:29:33+00:00,2026-05-31T16:29:33+03:00,commit,konard,,fe963ad0,,fix(atex): показать подписи кнопок верхнего меню (#3009)
2026-05-31T13:29:34+00:00,2026-05-31T16:29:34+03:00,pr_merged,konard,3009,,yes,fix(atex): показать подписи кнопок верхнего меню
2026-05-31T13:32:56+00:00,2026-05-31T16:32:56+03:00,issue,ideav,3013,,,https://github.com/ideav/crm/pull/3009 Как сделать чтобы в следующие разы такой дефект не возникал?
2026-05-31T13:33:52+00:00,2026-05-31T16:33:52+03:00,pr_created,konard,3014,,,docs(#3013): надёжный механизм проверки контраста брендированной шапки
2026-05-31T13:41:17+00:00,2026-05-31T16:41:17+03:00,pr_merged,konard,3014,,,docs(#3013): надёжный механизм проверки контраста брендированной шапки
2026-05-31T14:00:47+00:00,2026-05-31T17:00:47+03:00,commit,konard,,8802be59,,data(#3011): полные CSV-справочники atex для загрузки (#3012)
2026-05-31T14:00:48+00:00,2026-05-31T17:00:48+03:00,pr_merged,konard,3012,,yes,data(#3011): полные CSV-справочники atex для загрузки
2026-05-31T14:21:20+00:00,2026-05-31T17:21:20+03:00,issue,ideav,3015,,,"https://github.com/ideav/crm/pull/3012 Догрузи остальные справочники сам, можно CURL'ом"
2026-05-31T14:22:28+00:00,2026-05-31T17:22:28+03:00,pr_created,konard,3016,,,docs(#3015): описать бэкап перед массовой загрузкой
2026-05-31T14:40:16+00:00,2026-05-31T17:40:16+03:00,pr_merged,konard,3016,,,docs(#3015): описать бэкап перед массовой загрузкой
2026-05-31T14:45:24+00:00,2026-05-31T17:45:24+03:00,issue,ideav,3019,,,https://github.com/ideav/crm/pull/3016 Добавь ВАЖНЫЙ пункт про уникальность справочников в docs/integram-app-workflow.md
2026-05-31T14:47:18+00:00,2026-05-31T17:47:18+03:00,pr_created,konard,3020,,,docs(#3019): описать unique=1 для справочников
2026-05-31T14:48:02+00:00,2026-05-31T17:48:02+03:00,commit,konard,,9ec5b2e5,,Fix Atex live workflow transport
2026-05-31T14:48:59+00:00,2026-05-31T17:48:59+03:00,commit,konard,,18467a1e,,Merge remote-tracking branch 'origin/main' into issue-3002-6e115ce1c61a
2026-05-31T15:18:22+00:00,2026-05-31T18:18:22+03:00,pr_merged,konard,3020,,,docs(#3019): описать unique=1 для справочников
2026-05-31T15:19:43+00:00,2026-05-31T18:19:43+03:00,commit,konard,,dabd49a9,,docs(atex): align workplace API references
2026-05-31T15:22:28+00:00,2026-05-31T18:22:28+03:00,commit,konard,,7a597028,,fix(#3002): live-проход Atex по ролям (#3010)
2026-05-31T15:22:29+00:00,2026-05-31T18:22:29+03:00,pr_merged,konard,3010,,yes,fix(#3002): live-проход Atex по ролям
2026-05-31T15:25:52+00:00,2026-05-31T18:25:52+03:00,issue,ideav,3022,,,"https://github.com/ideav/crm/pull/3010 metadata вообще не требует параметра JSON - всегда возвращает JSON, независимо от него"
2026-05-31T15:26:46+00:00,2026-05-31T18:26:46+03:00,pr_created,konard,3023,,yes,fix(#3022): убрать JSON-параметр у metadata в Atex
